Substantive,Attitudinal,Corrected Item-Total Definition,CFA Modification Index Definition
Absorption,Cognitive,  Item 1. I'm able to concentrate on my work without distractions,  Item 2. I have a hard time detaching mentally from my work
Absorption,Cognitive,  Item 3. Time passes quickly while I'm working,  Item 3. Time passes quickly while I'm working
Absorption,Affective,  Item 5. I enjoy thinking about work even when I'm not at work,  Item 7. I am happiest when I am immersed in a project
Absorption,Affective,  Item 8. I love starting my workday,  Item 8. I love starting my workday
Absorption,Behavioral,  Item 10. I have to be reminded to take breaks while I'm at work,  Item 10. I have to be reminded to take breaks while I'm at work
Absorption,Behavioral,  Item 9. I devote more time than is expected of me,  Item 11. I never miss a work deadline
Vigor,Cognitive,  Item 13. I devote my full attention to my work tasks throughout the day,  Item 14. Thinking about work saps my energy
Vigor,Cognitive,  Item 16. I'm able to maintain good levels of energy throughout the workday,  Item 16. I'm able to maintain good levels of energy throughout the workday
Vigor,Affective,  Item 17. I enjoy spending time completing my job tasks,  Item 17. I enjoy spending time completing my job tasks
Vigor,Affective,  Item 18. Most days I feel enthusiastic about starting my work day,  Item 19. I feel motivated to go beyond what is asked of me at work
Vigor,Behavioral,  Item 23. I try my best to perform well at work,  Item 21. When work is slow I find ways to be productive
Vigor,Behavioral,  Item 22. I express enthusiasm for my job while at work,  Item 22. I express enthusiasm for my job while at work
Dedication,Cognitive,  Item 26. I believe this company cares about my career goals,  Item 26. I believe this company cares about my career goals
Dedication,Cognitive,  Item 25. I plan my future with this company,  Item 28. This organization challenges me to work at my full potential
Dedication,Affective,  Item 31. I feel proud of my accomplishments within this organization,  Item 31. I feel proud of my accomplishments within this organization
Dedication,Affective,  Item 32. My job makes me feel like I'm part of something meaningful,  Item 32. My job makes me feel like I'm part of something meaningful
Dedication,Behavioral,  Item 33. I make valued contributions to the organization,  Item 34. I embrace challenging situations at work
Dedication,Behavioral,  Item 35. I speak positively about this organization to others,  Item 35. I speak positively about this organization to others
